02.05.2016;1.0994;1.1007;1.0993;1.0998;0
29.04.2016;1.0974;1.0994;1.0957;1.0984;1
28.04.2016;1.1;1.1004;1.0965;1.097;2
27.04.2016;1.1002;1.101;1.0991;1.0997;3
26.04.2016;1.099;1.1004;1.0983;1.1002;4
25.04.2016;1.0982;1.0993;1.0965;1.0991;5
22.04.2016;1.1004;1.1016;1.0979;1.0986;6
21.04.2016;1.0982;1.1007;1.0964;1.1006;7
20.04.2016;1.0922;1.0989;1.0918;1.0984;8
19.04.2016;1.0911;1.0929;1.0904;1.0924;9
18.04.2016;1.0921;1.0923;1.0904;1.091;10
15.04.2016;1.0888;1.0927;1.0885;1.0923;11
14.04.2016;1.0904;1.0904;1.0868;1.089;12
13.04.2016;1.0876;1.091;1.0872;1.0903;13
12.04.2016;1.0887;1.0893;1.0873;1.0878;14
11.04.2016;1.0868;1.0898;1.0866;1.0892;15
08.04.2016;1.0877;1.0894;1.0861;1.0868;16
07.04.2016;1.0893;1.0906;1.0846;1.087;17
06.04.2016;1.0885;1.091;1.0882;1.0897;18
05.04.2016;1.0922;1.0925;1.088;1.0885;19
04.04.2016;1.0925;1.0933;1.0913;1.0923;20
01.04.2016;1.0944;1.095;1.0906;1.0915;21
31.03.2016;1.0935;1.0953;1.0906;1.0946;22
30.03.2016;1.0912;1.0942;1.0895;1.0937;23
29.03.2016;1.0907;1.0928;1.0885;1.0913;24
28.03.2016;1.0913;1.0917;1.0901;1.0907;25
25.03.2016;1.0906;1.0923;1.0895;1.0911;26
24.03.2016;1.0906;1.0909;1.0876;1.0906;27
23.03.2016;1.0913;1.0923;1.0875;1.0907;28
22.03.2016;1.0911;1.0916;1.0876;1.0912;29
21.03.2016;1.0937;1.0942;1.0896;1.091;30
18.03.2016;1.0946;1.0948;1.0906;1.0924;31
17.03.2016;1.0973;1.0994;1.0923;1.0944;32
16.03.2016;1.096;1.0983;1.0941;1.0971;33
15.03.2016;1.0964;1.0971;1.0945;1.0961;34
14.03.2016;1.0969;1.0991;1.0946;1.0963;35
11.03.2016;1.1007;1.1017;1.0937;1.0953;36
10.03.2016;1.0974;1.1022;1.09;1.1006;37
09.03.2016;1.0959;1.1;1.0948;1.0969;38
08.03.2016;1.0963;1.097;1.0918;1.0959;39
07.03.2016;1.0921;1.0974;1.0917;1.0968;40
04.03.2016;1.086;1.0944;1.0853;1.0932;41
03.03.2016;1.0834;1.0874;1.0828;1.086;42
02.03.2016;1.0839;1.0859;1.0821;1.0831;43
01.03.2016;1.0893;1.0893;1.0825;1.0841;44
29.02.2016;1.0894;1.0894;1.0893;1.0893;45
26.02.2016;1.0917;1.0941;1.0888;1.0889;46
25.02.2016;1.0893;1.0948;1.089;1.0916;47
24.02.2016;1.0928;1.0943;1.0865;1.0895;48
23.02.2016;1.1025;1.1028;1.0916;1.0929;49
22.02.2016;1.1014;1.1027;1.0995;1.1023;50
19.02.2016;1.1031;1.1048;1.0999;1.1017;51
18.02.2016;1.1046;1.1054;1.1021;1.1031;52
17.02.2016;1.1013;1.1061;1.1006;1.1045;53
16.02.2016;1.1014;1.1033;1.1007;1.1013;54
15.02.2016;1.0984;1.1032;1.0981;1.1016;55
12.02.2016;1.1006;1.1021;1.0966;1.0996;56
11.02.2016;1.0984;1.1043;1.0951;1.1004;57
10.02.2016;1.0986;1.0996;1.0952;1.0987;58
09.02.2016;1.1053;1.1054;1.0959;1.0991;59
08.02.2016;1.107;1.1095;1.1019;1.1054;60
05.02.2016;1.1131;1.1135;1.1035;1.1059;61
04.02.2016;1.1151;1.1199;1.1115;1.1129;62
03.02.2016;1.1128;1.1161;1.11;1.1147;63
02.02.2016;1.1104;1.1159;1.1102;1.1125;64
01.02.2016;1.1079;1.1116;1.1077;1.1106;65
29.01.2016;1.1092;1.1165;1.1058;1.1081;66
28.01.2016;1.1062;1.1107;1.1046;1.1093;67
27.01.2016;1.1056;1.1076;1.103;1.1062;68
